X,Y,AREA,PERIMETER,CO12_D00_,CO12_D00_I,STATE,COUNTY,NAME,LSAD,LSAD_TRANS
-85.215539845110712,30.795450196957059,0.00000,2.00000,2,1,12,063,Jackson,06,County
-87.021777427263615,30.700318433160632,0.00000,2.00000,3,2,12,113,Santa Rosa,06,County
-87.362334941098837,30.668067665865571,0.00000,3.00000,4,3,12,033,Escambia,06,County
-86.591724727842021,30.690908448486347,0.00000,2.00000,5,4,12,091,Okaloosa,06,County
-85.814145355962168,30.867979027918075,0.00000,1.00000,6,5,12,059,Holmes,06,County
-86.169570947370403,30.643388487418918,0.00000,2.00000,7,6,12,131,Walton,06,County
-85.665298669532831,30.610731688160492,0.00000,2.00000,8,7,12,133,Washington,06,County
-81.801888825616814,30.610383636573928,0.00000,2.00000,9,8,12,089,Nassau,06,County
-84.613668664936839,30.579454633269279,0.00000,1.00000,10,9,12,039,Gadsden,06,County
-84.277854018834205,30.458090228770331,0.00000,2.00000,11,10,12,073,Leon,06,County
-83.895139706720045,30.437774298458475,0.00000,2.00000,12,11,12,065,Jefferson,06,County
-83.470035817629906,30.444142606937394,0.00000,2.00000,13,12,12,079,Madison,06,County
-82.947759074081475,30.496329248061809,0.00000,2.00000,14,13,12,047,Hamilton,06,County
-85.197220302804041,30.406073438969408,0.00000,1.00000,15,14,12,013,Calhoun,06,County
-84.883002317331886,30.241400203182316,0.00000,2.00000,16,15,12,077,Liberty,06,County
-82.621535233724103,30.224239812758782,0.00000,2.00000,17,16,12,023,Columbia,06,County
-81.670582494372368,30.33164192641885,0.00000,2.00000,18,17,12,031,Duval,06,County
-82.284615286287632,30.331222853849738,0.00000,1.00000,19,18,12,003,Baker,06,County
-85.620237923812553,30.265251284051462,0.00000,2.00000,20,19,12,005,Bay,06,County
-82.99157597109425,30.19556200159532,0.00000,2.00000,21,20,12,121,Suwannee,06,County
-83.603371567493824,30.047237584177733,0.00000,2.00000,22,21,12,123,Taylor,06,County
-84.400756025515932,30.167324433407,0.00000,2.00000,23,22,12,129,Wakulla,06,County
-83.181040836982248,29.985507851081778,0.00000,1.00000,24,23,12,067,Lafayette,06,County
-81.44060687612378,29.901723030098438,0.00000,2.00000,25,24,12,109,St. Johns,06,County
-85.227242715804138,29.955025251814902,0.00000,2.00000,26,25,12,045,Gulf,06,County
-81.85788714195138,29.983075502552474,0.00000,1.00000,27,26,12,019,Clay,06,County
-82.168910930753924,29.950178787041533,0.00000,1.00000,28,27,12,007,Bradford,06,County
-82.37141200273345,30.043885054417316,0.00000,1.00000,29,28,12,125,Union,06,County
-84.798013880641051,29.890337609572473,0.00000,2.00000,30,29,12,037,Franklin,06,County
-82.357574323519742,29.674770387362852,0.00000,2.00000,31,30,12,001,Alachua,06,County
-82.800333050117459,29.725875543701072,0.00000,1.00000,32,31,12,041,Gilchrist,06,County
-81.744295524847217,29.608613215418305,0.00000,2.00000,33,32,12,107,Putnam,06,County
-83.15885621320048,29.607968094766456,0.00000,2.00000,34,33,12,029,Dixie,06,County
-82.910984770093663,29.82292276803468,0.00000,0.00000,35,34,12,029,Dixie,06,County
-84.879385565640987,29.662080135061196,0.00000,0.00000,36,35,12,037,Franklin,06,County
-85.13411219448551,29.662703228364293,0.00000,0.00000,37,36,12,037,Franklin,06,County
-81.313600735822902,29.461408237763639,0.00000,1.00000,38,37,12,035,Flagler,06,County
-82.742613405667839,29.319346548658512,0.00000,2.00000,39,38,12,075,Levy,06,County
-82.056804646605258,29.210181131372458,0.00000,3.00000,40,39,12,083,Marion,06,County
-81.181826058121388,29.058241996285783,0.00000,3.00000,41,40,12,127,Volusia,06,County
-81.711336805743557,28.761507106051653,0.00000,3.00000,42,41,12,069,Lake,06,County
-82.460460231381219,28.852479525304844,0.00000,1.00000,43,42,12,017,Citrus,06,County
-82.080993291810557,28.704521290791817,0.00000,2.00000,44,43,12,119,Sumter,06,County
-81.236353588865271,28.71697786129636,0.00000,1.00000,45,44,12,117,Seminole,06,County
-80.732214928831766,28.293501096058449,0.00000,2.00000,46,45,12,009,Brevard,06,County
-81.323760391236405,28.514690039134152,0.00000,2.00000,47,46,12,095,Orange,06,County
-82.423190796980251,28.552738623667071,0.00000,1.00000,48,47,12,053,Hernando,06,County
-82.392733764540452,28.309197443026065,0.00000,2.00000,49,48,12,101,Pasco,06,County
-81.697706030901315,27.948846690186546,0.00000,3.00000,50,49,12,105,Polk,06,County
-81.149537819018946,28.062634062709083,0.00000,3.00000,51,50,12,097,Osceola,06,County
-82.310819971037873,27.929767266346381,0.00000,2.00000,52,51,12,057,Hillsborough,06,County
-82.719200316649093,27.919521033951046,0.00000,1.00000,53,52,12,103,Pinellas,06,County
-82.823342683007482,28.02244390252093,0.00000,0.00000,54,53,12,103,Pinellas,06,County
-80.606362694385126,27.694283662190028,0.00000,1.00000,55,54,12,061,Indian River,06,County
-81.340979298608431,27.34334480063271,0.00000,2.00000,56,55,12,055,Highlands,06,County
-82.315554292331996,27.471882399409264,0.00000,2.00000,57,56,12,081,Manatee,06,County
-81.809915086800316,27.49268287350047,0.00000,1.00000,58,57,12,049,Hardee,06,County
-80.888569213091046,27.386291203388296,0.00000,2.00000,59,58,12,093,Okeechobee,06,County
-80.470923354166217,27.377537274613143,0.00000,1.00000,60,59,12,111,St. Lucie,06,County
-82.331607794658709,27.184455018479326,0.00000,1.00000,61,60,12,115,Sarasota,06,County
-81.809307546445112,27.186286499584281,0.00000,1.00000,62,61,12,027,DeSoto,06,County
-80.43107214686043,27.077508608576416,0.00000,2.00000,63,62,12,085,Martin,06,County
-81.188788573147463,26.95648409556156,0.00000,2.00000,64,63,12,043,Glades,06,County
-81.911522817162478,26.905668937083732,0.00000,2.00000,65,64,12,015,Charlotte,06,County
-80.465223013885122,26.647226543065532,0.00000,2.00000,66,65,12,099,Palm Beach,06,County
-81.165873936104049,26.553518115343476,0.00000,2.00000,67,66,12,051,Hendry,06,County
-82.256427002736729,26.764675687213334,0.00000,0.00000,68,67,12,071,Lee,06,County
-82.220821260588394,26.776947464551789,0.00000,0.00000,69,68,12,071,Lee,06,County
-81.820851130179207,26.578730009659736,0.00000,2.00000,70,69,12,071,Lee,06,County
-82.146287922683982,26.512119454270216,0.00000,0.00000,71,70,12,071,Lee,06,County
-81.34449895711127,26.116909224595101,0.00000,3.00000,72,71,12,021,Collier,06,County
-80.487747369519752,26.151841413919666,0.00000,2.00000,73,72,12,011,Broward,06,County
-80.563600233837022,25.616626915761099,0.00000,3.00000,74,73,12,086,Miami-Dade,06,County
-81.047846800397551,25.50498847479745,0.00000,2.00000,75,74,12,087,Monroe,06,County
-80.216436330915826,25.421466993986211,0.00000,0.00000,76,75,12,086,Miami-Dade,06,County
-80.398654116560067,25.161435482940412,0.00000,1.00000,77,76,12,087,Monroe,06,County
-80.724319187925076,24.861633314768476,0.00000,0.00000,78,77,12,087,Monroe,06,County
-80.806182666899389,24.823488969807457,0.00000,0.00000,79,78,12,087,Monroe,06,County
-80.893649865485898,24.788083490711077,0.00000,0.00000,80,79,12,087,Monroe,06,County
-81.029919395554174,24.729915261574444,0.00000,0.00000,81,80,12,087,Monroe,06,County
-81.31806795750461,24.741662269018487,0.00000,0.00000,82,81,12,087,Monroe,06,County
-81.516802193470525,24.647513217686136,0.00000,1.00000,83,82,12,087,Monroe,06,County
-81.261722035074982,24.666476744708689,0.00000,0.00000,84,83,12,087,Monroe,06,County
-82.130693237922742,24.570429799735692,0.00000,0.00000,85,84,12,087,Monroe,06,County
